Date,SP500,SMALL CAP,TBILL,GOVT IT,GOVT LT,CORP LT,INFLATION
7/31/1998,-0.1446,-0.201,0.004306369,0.0270738,0.046466706,0.008900006,0.001225494
6/30/1998,-0.0106,-0.0671,0.004002308,0.002652312,-0.003970298,-0.0056,0.001226997
5/31/1998,0.0406,-0.0206,0.004089288,0.007865192,0.022806088,0.011500006,0.001228505
4/30/1998,-0.0172,-0.0497,0.004036553,0.006990294,0.018242221,0.0167,0.001846214
3/31/1998,0.0101,0.0168,0.004302754,0.006107795,0.002612797,0.005300003,0.001849629
2/28/1998,0.0512,0.0481,0.00394574,0.002562815,0.002479396,0.00379999,0.001852946
1/31/1998,0.0721,0.0649,0.003907282,-0.003874016,-0.007183904,-0.000699996,0.001856385
12/31/1997,0.0111,-0.0059,0.004286707,0.018037314,0.020025712,0.013700002,0.001859949
11/30/1997,0.0172,-0.0171,0.004766665,0.010620301,0.018439686,0.016299992,-0.001238394
10/31/1997,0.0463,-0.0155,0.003919965,-0.000143899,0.014801497,0.010100001,-0.000618869
9/30/1997,-0.0334,-0.0386,0.004218075,0.015020494,0.034084697,0.01910001,0.002481396
8/31/1997,0.0548,0.0844,0.004440373,0.015109309,0.03159071,0.022599989,0.002487681
7/31/1997,-0.056,0.0509,0.004108238,-0.0097562,-0.031748694,-0.023999988,0.001869108
6/30/1997,0.0796,0.0605,0.004289379,0.026410382,0.062554796,0.052799999,0.001247776
5/31/1997,0.0448,0.0498,0.00369252,0.0103282,0.019676292,0.018699987,0.001249223
4/30/1997,0.0609,0.1022,0.004934192,0.007745212,0.009495789,0.012800014,-0.000624277
3/31/1997,0.0597,-0.0276,0.004307826,0.014802492,0.025523427,0.018399996,0.001250004
2/28/1997,-0.0411,-0.049,0.004291151,-0.01139679,-0.02520651,-0.022099997,0.002506273
1/31/1997,0.0078,-0.0206,0.003859078,0.000193909,0.00051361,0.002799993,0.003142743
12/31/1996,0.0625,0.042,0.00450365,0.002481397,-0.007925723,-0.002800005,0.003152651
11/30/1996,-0.0198,0.0204,0.004620706,-0.007830814,-0.025576592,-0.01859999,0
10/31/1996,0.0756,0.0288,0.004067872,0.014931998,0.035054408,0.026300002,0.001895085
9/30/1996,0.0276,-0.0175,0.004246018,0.01825702,0.040376406,0.036099985,0.00316852
8/31/1996,0.0563,0.0291,0.004374691,0.015545095,0.028979197,0.025900001,0.003178706
7/31/1996,0.0211,0.0476,0.004122117,-0.000482602,-0.013929705,-0.006999985,0.001910777
6/30/1996,-0.0442,-0.0943,0.004496769,0.002455189,0.001757401,0.00099999,0.001914435
5/31/1996,0.0038,-0.0582,0.003999525,0.011734808,0.020281297,0.017199992,0.000638629
